value,percentage,datetime
203.04,0.5964922588795205,2024-01-09T17:00:00.000+01:00
252.94,0.6486638970097964,2024-01-09T18:00:00.000+01:00
255.27,0.6475318350159809,2024-01-09T19:00:00.000+01:00
266.36,0.6428071530274876,2024-01-09T20:00:00.000+01:00
244.9,0.6532408642304615,2024-01-09T21:00:00.000+01:00
172.73,0.6069433219719597,2024-01-09T22:00:00.000+01:00
166.2,0.6103338107304175,2024-01-09T23:00:00.000+01:00
129.7,0.5841552943295951,2024-01-10T00:00:00.000+01:00
128.02,0.5868708169065737,2024-01-10T01:00:00.000+01:00
125.13,0.589846327896672,2024-01-10T02:00:00.000+01:00
122.57,0.588232471085089,2024-01-10T03:00:00.000+01:00
121.35,0.5880785073903562,2024-01-10T04:00:00.000+01:00
122.32,0.5863292110056562,2024-01-10T05:00:00.000+01:00
132.97,0.5832785015572224,2024-01-10T06:00:00.000+01:00
140.92,0.5755125377766886,2024-01-10T07:00:00.000+01:00
186.1,0.6052032520325203,2024-01-10T08:00:00.000+01:00
184.83,0.6035659471638964,2024-01-10T09:00:00.000+01:00
214.45,0.6705124597442391,2024-01-10T10:00:00.000+01:00
210.89,0.6719237876760338,2024-01-10T11:00:00.000+01:00
206.88,0.6741616971355948,2024-01-10T12:00:00.000+01:00
204.57,0.6749925759725476,2024-01-10T13:00:00.000+01:00
149.93,0.6127344803629082,2024-01-10T14:00:00.000+01:00
150.9,0.6143386394170094,2024-01-10T15:00:00.000+01:00
156.78,0.6120632441928558,2024-01-10T16:00:00.000+01:00
162.39,0.6125844052963144,2024-01-10T17:00:00.000+01:00
223.13,0.6672148794928533,2024-01-10T18:00:00.000+01:00
235.88,0.6602104791759964,2024-01-10T19:00:00.000+01:00
234.48,0.6614759647935002,2024-01-10T20:00:00.000+01:00
219.64,0.6709638002138384,2024-01-10T21:00:00.000+01:00
162.33,0.6157026360705482,2024-01-10T22:00:00.000+01:00
151.47,0.6203972967438051,2024-01-10T23:00:00.000+01:00
129.37,0.5850669319826338,2024-01-11T00:00:00.000+01:00
123.81,0.5895995047383209,2024-01-11T01:00:00.000+01:00
119.94,0.5936448228073649,2024-01-11T02:00:00.000+01:00
116.64,0.5931651749389748,2024-01-11T03:00:00.000+01:00
116.14,0.5933381015632982,2024-01-11T04:00:00.000+01:00
117.36,0.5913534213443515,2024-01-11T05:00:00.000+01:00
123.3,0.5893599732326371,2024-01-11T06:00:00.000+01:00
140.06,0.5784973772252282,2024-01-11T07:00:00.000+01:00
178.36,0.6104038329911019,2024-01-11T08:00:00.000+01:00
172.71,0.6109087050334264,2024-01-11T09:00:00.000+01:00
207.18,0.6797021095108429,2024-01-11T10:00:00.000+01:00
193.19,0.6915202061781867,2024-01-11T11:00:00.000+01:00
190.54,0.6943118463724811,2024-01-11T12:00:00.000+01:00
188.24,0.6961023592929517,2024-01-11T13:00:00.000+01:00
138.82,0.6258227391578758,2024-01-11T14:00:00.000+01:00
141.71,0.6250716774734242,2024-01-11T15:00:00.000+01:00
158.2,0.6183793925653754,2024-01-11T16:00:00.000+01:00
184.9,0.6094264996704022,2024-01-11T17:00:00.000+01:00
247.19,0.657210464745294,2024-01-11T18:00:00.000+01:00
251.23,0.6550294623768056,2024-01-11T19:00:00.000+01:00
234.02,0.6649239948856371,2024-01-11T20:00:00.000+01:00
222.51,0.6725607544432354,2024-01-11T21:00:00.000+01:00
162.67,0.6192941713937641,2024-01-11T22:00:00.000+01:00
153.63,0.6222609259184252,2024-01-11T23:00:00.000+01:00
126.02,0.586139534883721,2024-01-12T00:00:00.000+01:00
123.68,0.5885880169418931,2024-01-12T01:00:00.000+01:00
122.62,0.5906266557487597,2024-01-12T02:00:00.000+01:00
119.17,0.5894544195479052,2024-01-12T03:00:00.000+01:00
119.26,0.5892292490118577,2024-01-12T04:00:00.000+01:00
120.82,0.5870177825284228,2024-01-12T05:00:00.000+01:00
126.13,0.5862966578347976,2024-01-12T06:00:00.000+01:00
140.36,0.5773043227902769,2024-01-12T07:00:00.000+01:00
176.85,0.6095543377106815,2024-01-12T08:00:00.000+01:00
165.34,0.6116002071465562,2024-01-12T09:00:00.000+01:00
208.69,0.6760504065567398,2024-01-12T10:00:00.000+01:00
202.29,0.6814093711051975,2024-01-12T11:00:00.000+01:00
199.06,0.6839139696282553,2024-01-12T12:00:00.000+01:00
198.68,0.6840184534875714,2024-01-12T13:00:00.000+01:00
146.29,0.6188502051694235,2024-01-12T14:00:00.000+01:00
149.95,0.6197305339725575,2024-01-12T15:00:00.000+01:00
160.97,0.6145065852261882,2024-01-12T16:00:00.000+01:00
168.69,0.6116610464483847,2024-01-12T17:00:00.000+01:00
242.28,0.6578690127077225,2024-01-12T18:00:00.000+01:00
235.14,0.6630946673810665,2024-01-12T19:00:00.000+01:00
223.68,0.6703428434428195,2024-01-12T20:00:00.000+01:00
214.41,0.6770770833991221,2024-01-12T21:00:00.000+01:00
160.68,0.621153548786145,2024-01-12T22:00:00.000+01:00
158.48,0.6240107099263693,2024-01-12T23:00:00.000+01:00
134.36,0.5988589766446782,2024-01-13T00:00:00.000+01:00
133.24,0.6036607466473359,2024-01-13T01:00:00.000+01:00
